character_details_id,first_appearance,based_on,adapted_by,portrayed_by,voiced_by,alias,title,occupation,affiliation,weapon,significant_others,nationality,char_name,full_name,aliases,nicknames,origin,family,spouse,children,nickname,relatives,last_appearance,created_by,species,significant_other,motion_capture_by,publisher,alter_ego,team_affiliations,notable_aliases,abilities,position,partnerships,place_of_origin,supporting_character_of,home,schedule,format,genre,publication_date,number_of_issues,writer,penciller,creators,gender,written_by,inker,colorist,editor
122,"As Flash Thompson: Amazing Fantasy #15 (Aug. 1962) As Agent Venom: The Amazing Spider-Man #654 (April 2011) As Agent Anti-Venom: Amazing Spider-Man/Venom: Venom Inc. Alpha #1 (Dec. 2017)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Flash Thompson","Eugene Flash Thompson",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan Lee Steve Ditko",NULL,NULL,NULL,"Marvel Comics",NULL,"
United States Army
Project Rebirth
Secret Avengers
Thunderbolts
Guardians of the Galaxy
New Warriors
S.H.I.E.L.D.
Agent of Cosmos
","Agent Venom Agent Anti-Venom Venom Space Knight","
Experienced hand to hand combatant
Trained marksman
Alien symbiote grants:
Superhuman strength, agility, reflexes and endurance
Organic webbing
Immunity to Spider Sense
Limited shapeshifting and camouflage
Ability to cling to most surfaces, can create armor by taking pieces from the armor of others and placing it in his venom, and form limbs that he could use
",NULL,NULL,NULL,"Spider-Man Eddie Brock",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,"The Avengers #28 (May 1966)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Collector,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeDon Heck",NULL,NULL,NULL,"Marvel Comics","Taneleer Tivan","Elders of the Universe",NULL,"Controls the Power Primordial to create virtually unlimited effectsLimited shape-shiftingPrecognitionTelepathyEffective immortalityArmored suit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,"The Amazing Spider-Man #2 (May 1963)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Vulture,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeSteve Ditko",NULL,NULL,NULL,"Marvel Comics","Adrian Toomes","Sinister SixSavage Six",Falcon,"
Genius electrical engineer
Electromagnetic tailored body-harness grants:
Flight
Enhanced physical attributes
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,"Marvel Super-Heroes #18 (January 1969)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yondu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Centaurian,NULL,NULL,"Marvel Comics","Yondu Udonta","Guardians of the GalaxyAvengersRavagers",NULL,"Expert archerEmpathic relationship with all life forms",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,"The Avengers #54 (July 1968) (non-named cameo)The Avengers #55 (August 1968) (first named appearance)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ultron,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Roy Thomas (writer)John Buscema (artist)",Synthezoid,NULL,NULL,"Marvel Comics",NULL,"Masters of EvilLethal LegionSons of YinsenUltron SentriesPhalanxIron Avengers","Ultron-5, Ultron-6, Ultron-7, Ultron-8, Ultron-9, Ultron-10, Ultron-11, Ultron-12, Ultron-13, Ultron-14, Ultron-15, Ultron-16, Ultron-17, Ultron-18, Ultron Prime, Ultimate Ultron, Hank Pym, Crimson Cowl, Doctor Doom, Ultron Pym","
Artificial intelligence with genius-level intellect
Abilities via robotic body vary but generally include:
Superhuman strength, speed, agility and durability
Flight
Energy blasts
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,"Tales to Astonish #44 (June 1963)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The Wasp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeErnie HartJack Kirby","Human mutate",NULL,NULL,"Marvel Comics","Janet van Dyne","AvengersUncanny AvengersAgents of WakandaLady LiberatorsWest Coast AvengersMighty AvengersDefenders","Winsome Wasp","
Size manipulation
Flight via wasp wings
Bio-electric energy blasts
Telepathic insect control
",NULL,"Hank Pym",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,"(As Whiplash)Tales of Suspense #97 (Jan. 1968)(As Blacklash)Iron Man #146 (May 1981)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Blacklash,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan Lee (Writer)Gene Colan (Artist)",NULL,NULL,NULL,"Marvel Comics","Marco Scarlotti[4]","MaggiaDeath SquadSinister Syndicate",Whiplash,"Wears a bulletproof costumeWields a pair of cybernetically-controlled titanium whipsCarries a variety of devices in a weapons pouch",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,"As Volstagg:Journey into Mystery #119 (August 1965)As War Thor:The Mighty Thor vol. 2 #20 (June 2017)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Volstagg,Volstagg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeJack Kirby",Asgardian,NULL,NULL,"Marvel Comics",NULL,"Warriors ThreeThor Corps","Volstagg the Valiant, Volstagg the Voluminous, Volstagg the Enormous, Lion of Asgard, War Thor","Superb pugilistMaster of the quarterstaffExcellent battlefield warrior, hand-to-hand combatant, swordsman, horseman and archerSuperhuman strength, speed, agility, stamina and durabilityIncrease mass to become nearly unmovableExtremely long lifespanAbility to consume vast quantities of food and drinkAs War Thor:Lightning generationWeather manipulationFlightDimensional transportation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,"As Super-Patriot:Captain America #323 (November 1986)As Captain America:Captain America #333 (September 1987)As U.S. Agent:Captain America #354 (June 1989)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"U.S. Agent",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mark GruenwaldPaul Neary","Human (empowered)",NULL,NULL,"Marvel Comics","John F. Walker","Mighty AvengersOmega FlightNew InvadersS.T.A.R.S.The JuryForce WorksSecret DefendersWest Coast AvengersDark AvengersCommission on Superhuman ActivitiesBold Urban CommandosAstonishing Avengers","Jack Daniels, Super-Patriot, Captain America","Exceptional hand-to-hand combatantHighly trained acrobat and gymnastSuperhuman strength, agility, reflexes/reactions and endurancePeak-level speed, dexterity, coordination and balanceUse of nearly indestructible shield and firearms",NULL,Battlestar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,"Shang-Chi and the Legend of the Ten Rings (2021)","Mandarinby Stan Lee    Don Heck Fu Manchuby Sax Rohmer    Steve Englehart    Al Milgrom    Jim StarlinBattleworld Zheng Zuby Haden Blackman    Dalibor Talajic","
Dave Callaham
Destin Daniel Cretton
Andrew Lanham
","Tony Leung",NULL,NULL,NULL,"
Warlord
Crime boss
Terrorist
","Ten Rings","Ten Rings",NULL,Chinese,"Xu Wenwu","Xu Wenwu","The Mandarin, The Warrior King, Master Khan, The Most Dangerous Man on Earth",NULL,NULL,NULL,"Ying Li","
Shang-Chi (son)
Xialing (daughter)
",NULL,"Ying Nan (sister-in-law)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,"Yellow Claw #1 (October 1956)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jimmy Woo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Al FeldsteinJoe Maneely",NULL,NULL,NULL,"Marvel Comics","Woo Yen Jet[1]","S.H.I.E.L.D.Agents of AtlasG-MenProtectorsThree Xs",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,"Yellow Claw #1 (October 1956)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jimmy Woo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Al FeldsteinJoe Maneely",NULL,NULL,NULL,"Marvel Comics","Woo Yen Jet[1]","S.H.I.E.L.D.Agents of AtlasG-MenProtectorsThree Xs",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,"Marvel Super-Heroes #12 (December 1967)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yon-Rogg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeGene Colan",Kree,NULL,NULL,"Marvel Comics",NULL,NULL,Magnitron,Super-StrengthAgilityStamina,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,"
As Phoenix:
Captain America #168 (Dec. 1973)
As Baron Zemo:
Cameo appearance: Captain America #275 (Nov. 1982)
Full appearance: Captain America #276 (Dec. 1982)
As Citizen V:
The Incredible Hulk vol. 2 #449 (Jan. 1997)
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Helmut Zemo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Roy Thomas Tony Isabella Sal Buscema",NULL,NULL,NULL,"Marvel Comics",NULL,"Commission on Superhuman ActivitiesThunderboltsMasters of EvilSecret Empire Hydra","Baron Zemo, Citizen V, Phoenix, Iron Cross, Mark Evanier","
Scientific genius
Master swordsman, marksman and hand-to-hand combatant
Skilled strategist
Superhuman strength, speed and agility
Slowed aging
Possesses the Moonstones
Genius level-intellect
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,"Captain America and the Falcon #208 (April 1977)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Arnim Zola",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jack Kirby",NULL,NULL,NULL,"Marvel Comics",NULL,Hydra,"The Bio-Fanatic","
Genius biochemist and scientist
Specially modified robot body grants:
Superhuman strength and durability
ESP Box
Mind control
Mind ray
Mind transfer
",NULL,"Red Skull",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
