character_details_id,first_appearance,based_on,adapted_by,portrayed_by,voiced_by,alias,title,occupation,affiliation,weapon,significant_others,nationality,char_name,full_name,aliases,nicknames,origin,family,spouse,children,nickname,relatives,last_appearance,created_by,species,significant_other,motion_capture_by,publisher,alter_ego,team_affiliations,notable_aliases,abilities,position,partnerships,place_of_origin,supporting_character_of,home,schedule,format,genre,publication_date,number_of_issues,writer,penciller,creators,gender,written_by,inker,colorist,editor
102,"As Hank Pym:Tales to Astonish #27 (January 1962)As Ant-Man:Tales to Astonish #35 (September 1962)As Giant-Man:Tales to Astonish #49 (November 1963)As Goliath:The Avengers #28 (May 1966)As Yellowjacket:The Avengers #59 (December 1968)As Wasp:Secret Invasion: Requiem #1 (February 2009)As Ultron:Avengers: Rage of Ultron #1 (April 2015)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hank Pym","Henry Jonathan Pym",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeLarry LieberJack Kirby","Human mutate",NULL,NULL,"Marvel Comics",NULL,"
Avengers
West Coast Avengers
Mighty Avengers
Secret Defenders
Defenders
Avengers Academy
Secret Avengers
Avengers A.I.
Illuminati
","Ant-Man, Giant-Man, Goliath, Yellowjacket, Wasp, Scientist Supreme, Ultron","
Leading authority in myrmecology research
Genius-level intellect
Size-shifting from nearly microscopic to ~100 feet gigantic (both at extremes)
Ability to transfer his size-shifting ability to other beings and objects
Bio-Energy Projection, also known as a Bio-Sting (particularly during his periods as Ant-Man & Yellowjacket)
Maintains strength of normal size in shrunken state
Flight using grafted wings (as Yellowjacket)
Telepathic communication with ants using a cybernetic helmet (as Ant-Man)
Superhuman strength, stamina, durability and mass in giant form (as Giant-Man, Goliath and Yellowjacket)
",NULL,Wasp,Nebraska,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,"As Captain Marvel:The Amazing Spider-Man Annual #16 (October 1982)As Photon:Avengers Unplugged #5 (June 1996)As Pulsar:New Thunderbolts #9 (August 2005)As Spectrum:Mighty Avengers #1 (November 2013)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Monica Rambeau","Monica Rambeau",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Roger SternJohn Romita Jr.",NULL,NULL,NULL,"Marvel Comics",NULL,"NextwaveAvengersNew Orleans Harbor PatrolMighty AvengersUltimatesS.W.O.R.D.","Captain Marvel, Photon, Pulsar, Daystar, Sceptre, Lady of Light, Monica Marvel, Sun Goddess, Spectrum","
Energy absorption, generation and manipulation
Ability to travel at speeds up to the speed of light while in her energy form, convert her body into any form of energy within the electromagnetic spectrum and travel in energy form through the vacuum of space
Intangibility (Via energy form)
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,"Fantastic Four #65 (August 1967)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ronan the Accuser",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeJack Kirby",Kree,NULL,NULL,"Marvel Comics",NULL,"Kree EmpireStarforceUnited FrontPhalanxAnnihilators",NULL,"
Expert in military tactics
Skilled hand-to-hand combatant
Superhuman strength, speed, endurance, and reflexes
Utilizes Kree exoskeleton armor
Wields Universal Weapon
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,"Ka-Zar #17 (September 1998)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Everett K. Ross","Everett Kenneth Ross",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kenny MartinezChristopher Priest",Human,NULL,NULL,"Marvel Comics",NULL,"National Security AgencyUnited States Department of State",NULL,NULL,NULL,NULL,Earth,"Black Panther",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,"As Thunderbolt Ross:The Incredible Hulk #1 (May 1962)As Red Hulk: Hulk #1 (January 2008)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Thunderbolt Ross",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Thunderbolt Ross:Stan LeeJack KirbyRed Hulk:Jeph LoebEd McGuinness",NULL,NULL,NULL,"Marvel Comics","Thaddeus E. Thunderbolt Ross","HulkbustersUnited States Air ForceOffendersAvengersThunderboltsPower Elite","General Ross, Red Hulk, Rulk, The Thing (Future Imperfect)","As Thunderbolt Ross:Expert military strategistAccess to advanced technology and weaponsCommanding officer with access to many soldiers and armiesAs Red Hulk:Immense superhuman strength, stamina and durabilityHealing factorEnergy absorptionHeat generation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,"Captain America #359 (October 1989; cameo appearance)Captain America #360 (November 1989; full appearance)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Crossbones,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mark Gruenwald (writer)Kieron Dwyer (artist)",NULL,NULL,NULL,"Marvel Comics","Brock Rumlow","Skeleton CrewThunderboltsHYDRA","Bingo, Frag, Mr. Bones","
Expert military tactician
Extensive training in warfare and various forms of combat
Master hand-to-hand combatant, martial artist, marksman, and torturer
High tolerance for pain
Skilled in the use of various firearms and explosives
",NULL,"Red Skull (Albert Malik)Red Skull (Johann Schmidt)Sin",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,"George Maxon:Captain America Comics #1 (March 1941)Johann Shmidt:Captain America Comics #7 (October 1941)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Red Skull",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Joe SimonFrance HerronJack Kirby",NULL,NULL,NULL,"Marvel Comics","Johann ShmidtAlbert MalikSinthea ShmidtGeorge Maxon","HYDRANazi Germany (SS-Oberführer)Kronas CorporationExilesU.L.T.I.M.A.T.U.M.Skeleton Crew","Der Rote Schädel (German name, translation: The Red Skull), Senator Dell Rusk, Bettman P. Lyles, the Agent of a Thousand Faces (impersonated in Europe during World War II), the Man (head of the People's Militia), Cyrus Fenton, John Smith (the English version of his natural German name), Teacher, Tod March (president and founder of Galactic Pictures), Aleksander Lukin, the White Skull","
Genius-level intellect
Expert tactician, strategist, and field commander
Skilled hand-to-hand combatant and marksman
Inhabits a cloned body of Captain America that grants:
Enhanced strength, reflexes, and healing
Slowed aging
",NULL,"Arnim ZolaCrossbones",Germany,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,"Thor (2011)",NULL,NULL,"Stellan Skarsgård",NULL,NULL,Doctor,Astrophysicist,"
Avengers
S.H.I.E.L.D.
",NULL,NULL,NULL,"Erik Selvig",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Avengers: Age of Ultron (2015)","
Ashley Miller
Zack Stentz
Don Payne
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,"Journey into Mystery #102 (Mar 1964)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sif,Sif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan Lee (writer)Jack Kirby (artist)",Asgardian,NULL,NULL,"Marvel Comics",NULL,Asgard,SylvanSybil[1],"Superhuman strength, endurance, longevity, durability, skilled in hand to hand combat, and proficient use of cold weapons",NULL,"ThorBeta Ray Bill",Asgard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
